STATION,X_TWD97,Y_TWD97,monthly,time,DIFFDISP,Layer_1,Layer_2,Layer_3,Layer_4,Layer_All
HONGLUN,2620454.90228,183487.975804,5,2016-09-01,-1.3234985418043002,-0.0,4.0,0.0,-2.0,2.0
HUNAN,2649583.28339,197073.456957,5,2016-09-01,-0.9408411160591084,-1.0,-2.0,-1.0,-0.0,-4.0
HUWEI,2623606.30661,192041.068482,5,2016-09-01,-0.9848480341647342,0.0,1.0,0.0,-0.0,1.0
JIANYANG,2614756.24677,163506.218274,5,2016-09-01,-1.0759908429122236,0.0,2.0,0.0,,2.0
JIAXING,2616146.2859,194875.077945,5,2016-09-01,-1.9608315873569135,1.0,8.0,-1.0,0.0,8.0
KECUO,2613831.28827,182075.186777,5,2016-09-01,-1.3075034829641206,-4.0,5.0,-3.0,3.0,1.0
LONGYAN,2624184.90663,179646.08447,5,2016-09-01,-2.52068435386604,0.0,2.0,0.0,-1.0,1.0
NEILIAO,2611723.34283,184142.181573,5,2016-09-01,1.5820477711358731,-1.0,2.0,2.0,0.0,3.0
QIAOYI,2637964.78657,196150.707581,5,2016-09-01,0.15574702082996414,2.0,-2.0,-1.0,0.0,-1.0
TANQIFENXIAO,2599940.93758,176526.188454,5,2016-09-01,-3.347134262672082,3.0,3.0,0.0,0.0,6.0
TUKU,2620611.25819,187772.134694,5,2016-09-01,-0.4205403997683555,1.0,4.0,-6.0,-1.0,-2.0
XIGANG,2639733.1713,177634.127419,5,2016-09-01,-2.321646662066251,2.0,-2.0,0.0,-1.0,-1.0
XINGHUA,2643201.13881,188364.082858,5,2016-09-01,-2.00083959205846,-1.0,-2.0,0.0,-3.0,-6.0
XINJIE,2644119.88134,179743.007588,5,2016-09-01,0.047019314357498704,1.0,-2.0,-1.0,1.0,-1.0
XINPI,2598087.955,181888.900806,5,2016-09-01,-4.1309245045672585,2.0,3.0,0.0,0.0,5.0
XINSHENG,2648279.21795,188342.160622,5,2016-09-01,-2.1946205372465704,-1.0,-1.0,0.0,-1.0,-3.0
XINXING,2626356.24719,170721.169691,5,2016-09-01,3.0653320167378344,2.0,6.0,1.0,0.0,9.0
XIUTAN,2617397.2418,183652.118876,5,2016-09-01,-1.7064278028259086,1.0,4.0,0.0,-1.0,4.0
XIZHOU,2638501.0722,199069.972355,5,2016-09-01,-3.251253590661772,-0.0,0.0,1.0,-1.0,0.0
YIWU,2604974.34087,167842.226707,5,2016-09-01,-2.1090429468938408,1.0,7.0,2.0,0.0,10.0
YUANCHANG,2616803.26394,179485.192133,5,2016-09-01,-6.28889415536717,1.0,-2.0,0.0,0.0,-1.0
ZHENNAN,2621720.32227,202939.032793,5,2016-09-01,-4.243232465920109,1.0,1.0,-0.0,0.0,2.0
