STATION	X_TWD97	Y_TWD97	monthly	time	DIFFDISP	Layer_1	Layer_2	Layer_3	Layer_4	Layer_All
FENGRONG	2632016.259	179785.1755	9	17/1/01	-3.788030607	0	1	-1	0	0
GUANGFU	2626508.298	189084.0983	9	17/1/01	-4.371271343	0	0	-2	1	-1
HAIFENG	2629140.251	171150.1455	9	17/1/01	-2.629639735	1	1	-1		1
HONGLUN	2620454.902	183487.9758	9	17/1/01	-4.04524588	0	0	-1	0	-1
HUNAN	2649583.283	197073.457	9	17/1/01	-2.823862064	-3	2	-0.9	-1.1	-3
HUWEI	2623606.307	192041.0685	9	17/1/01	-4.070752317	0	-1	-1	0	-2
JIANYANG	2614756.247	163506.2183	9	17/1/01	-3.373918164	-1	-2	0		-3
JIAXING	2616146.286	194875.0779	9	17/1/01	-2.853209568	-3	-7	-2	0	-12
KECUO	2613831.288	182075.1868	9	17/1/01	-3.248774404	-1	-10	-3	-1	-15
LONGYAN	2624184.907	179646.0845	9	17/1/01	-2.651483061	-1	-2	0	0	-3
NEILIAO	2611723.343	184142.1816	9	17/1/01	-3.295777496	-2	-13	-1	0	-16
QIAOYI	2637964.787	196150.7076	9	17/1/01	-3.102769764	-1	1	-1	-1	-2
TANQIFENXIAO	2599940.938	176526.1885	9	17/1/01	-3.971342341	-4	0	1	-1	-4
TUKU	2620611.258	187772.1347	9	17/1/01	-3.80823271	-1	-4	1	4	0
XIGANG	2639733.171	177634.1274	9	17/1/01	-4.117115976	0	2	0	-1	1
XINGHUA	2643201.139	188364.0829	9	17/1/01	-4.059051023	-2	2	0	-2	-2
XINJIE	2644119.881	179743.0076	9	17/1/01	-3.981519377	-1	1	2	-2	0
XINPI	2598087.955	181888.9008	9	17/1/01	-3.901333529	-3	-1	0	0	-4
XINSHENG	2648279.218	188342.1606	9	17/1/01	-4.074166737	0	0	0	0	0
XINXING	2626356.247	170721.1697	9	17/1/01	-4.673202455	-1	1	-8	0	-8
XIUTAN	2617397.242	183652.1189	9	17/1/01	-2.170794206	-9	-6	-3	0	-18
XIZHOU	2638501.072	199069.9724	9	17/1/01	-0.948880862	1	-2	1	-1	-1
YIWU	2604974.341	167842.2267	9	17/1/01	-2.61150813	1	-1	-1	0	-1
YUANCHANG	2616803.264	179485.1921	9	17/1/01	-0.442274328	-2	-10	0	-2	-14
ZHENNAN	2621720.322	202939.0328	9	17/1/01	-1.616484553	0	-2	0	-1	-3
